feature,file_name,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,mfcc,spectral_centroid,spectral_centroid,spectral_centroid,spectral_bandwidth,spectral_bandwidth,spectral_bandwidth,zero_crossing_rate,zero_crossing_rate,zero_crossing_rate,rmse,rmse,rmse,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,spectral_contrast,tempo
8,blues.00008.wav,-121.38979,-259.08032,0.9222479,122.49833,26.793001,171.03479,-14.734729,-92.740585,33.044426,46.12214,9.692522,99.331635,-8.179258,-67.28345,23.63281,20.172466,-16.04883,51.182304,-19.171894,-40.497917,22.236088,23.036839,-6.9890523,49.540356,-11.832729,-33.763115,16.369743,21.154655,-4.271926,45.39997,-6.7227974,-33.85614,20.491844,6.989506,-24.014366,29.024078,-12.730551,-35.5308,17.10306,1719.4633657271265,1067.4364471552124,4117.183328995484,2031.8293659117548,1335.7280835535876,2798.1281982950486,0.06402488761600927,0.0087890625,0.24462890625,0.14232728,0.047362413,0.25835073,29.493067993031072,12.913593212645024,53.06892199412286,15.135638488596094,5.718854445257439,29.93489869475264,17.01936189989054,6.68941190151614,33.81079611693776,17.030466570492997,8.830555617922991,28.456741904756935,19.69611163340325,10.763372444623817,32.22360243338643,17.624290925668074,11.341409412931466,25.240012163660282,40.60499045883298,14.086557258832975,48.94421160564316,83.35433467741936
9,blues.00009.wav,-213.26424,-371.29147,-53.860245,115.16476,-42.237373,175.15985,-11.69817,-75.82668,36.29594,39.015358,0.21052617,118.554214,-20.34833,-101.92168,22.28764,13.082702,-34.702827,62.47982,-9.182701,-57.527977,16.078613,9.017152,-13.462526,34.858032,-14.104312,-42.85586,19.085533,4.271254,-25.417793,37.94806,-6.0507803,-39.175373,20.430653,3.7858355,-23.944607,31.427372,0.22263543,-22.359703,28.279877,1817.2305900912734,869.4211685837761,4839.2271205449515,1973.7920387617448,1255.1289794762665,2720.0108308686576,0.07917482356921887,0.02294921875,0.42041015625,0.08128055,0.0075687217,0.32053873,14.334424623877076,4.960131252290816,36.73513482647914,17.63670377718521,5.0884262176614365,37.68555271451393,21.930637202724167,5.431327088827215,43.52560044030287,20.23588947831593,8.200283689520976,35.62755239803673,18.562802505723557,10.372705173498478,31.531875180151918,18.905217878458068,10.467204029398088,30.88486372198141,36.4906632629116,11.969989827752382,50.41454930255122,80.74951171875
10,blues.00010.wav,-173.81046,-434.78052,8.72957,137.17355,10.534009,216.88052,-23.72303,-87.571175,91.43088,26.979677,-45.361694,71.98131,-16.67521,-79.84277,25.127796,4.1947308,-30.786392,40.83425,-12.571788,-47.392334,16.211607,5.851669,-27.346708,33.373226,-2.8769507,-40.040077,38.701485,-1.1783811,-38.431534,26.991566,-1.9682406,-30.577896,16.745626,1.8011796,-27.28809,33.243423,-3.0069501,-29.360088,36.87603,1410.0234234402592,436.0723148953375,3202.1870000608533,1512.304654662321,710.9854376699632,2755.9926319476276,0.06295882576856149,0.0107421875,0.1396484375,0.14278811,0.0028473125,0.518649,16.17231863362414,5.433558746386335,46.88739396212284,16.37877382419769,3.604269607454193,34.89098344896614,21.30386076516199,5.292902077207346,43.19800978342699,21.594250074124172,6.447536292572868,38.139542570522956,18.67648789043173,3.824950201813997,32.681703486648466,17.765835133664403,7.751073106260072,30.599210103446783,35.72235552424617,8.649379951411293,54.12668124840518,161.4990234375
11,blues.00011.wav,-287.9319,-443.90714,-77.23607,124.010765,0.85215276,200.54417,5.4674478,-54.543793,46.2045,33.66307,-18.544325,90.41303,1.091654,-84.389046,51.47287,14.703699,-30.748438,51.423195,-4.8811417,-42.15751,26.656754,8.668892,-34.753807,46.286224,0.78433144,-37.771168,27.232414,6.57608,-33.052277,36.202248,-4.8758154,-36.419357,16.943075,-3.176761,-30.78759,26.3194,-5.538258,-30.12063,23.54512,1352.742709723767,349.0794551151468,4585.665248996804,1756.8820971332566,871.5372021848445,2809.574812600083,0.043930584759280744,0.00537109375,0.42822265625,0.06570574,0.003204682,0.26861718,27.473330850665782,8.453534816926913,61.36911302722236,16.88245596638507,5.8485652054765485,34.51247270607619,17.70137483223444,6.292040403178674,36.786063072698234,17.876979839518352,8.007812711381082,30.472078130755825,17.39856772502741,9.861261373069151,31.474840439546774,16.091328600156487,11.422930459121211,26.23752096261958,32.16006630139445,9.59015331802123,46.35292330084244,161.4990234375
12,blues.00012.wav,-207.2383,-404.68402,-42.353096,132.82741,36.65721,200.27313,-15.45408,-94.3755,73.2023,60.980972,2.7643766,110.05444,0.71902627,-62.276894,36.71077,12.4613285,-21.82417,54.34796,1.1633853,-37.661903,30.678633,-1.5329195,-27.053322,34.03493,-17.895847,-56.51801,21.196442,8.360363,-16.313606,55.036995,-2.459651,-31.53193,34.552902,-0.5846391,-35.391796,31.849052,0.3722645,-25.980186,37.016014,1360.6856016703396,513.872568328776,3698.9442697057157,1567.2994690310572,967.3845381291841,2581.6608855496356,0.06909500676720805,0.017578125,0.2431640625,0.118989594,0.018674543,0.3234385,16.891745863969614,7.496577545923017,43.89941968578841,18.89233691441681,3.2613354563498724,35.30064050077807,21.021541674873056,9.707074879422903,42.131738814964834,20.096252460339123,8.784993966248953,38.009973122089846,21.639422560360064,11.11054885118521,35.20767360307555,22.806531214096154,11.319690865663226,33.279720587002174,33.53688929320493,8.485881371930699,44.95187182291035,184.5703125
13,blues.00013.wav,-209.80392,-320.58655,-73.96017,124.46476,50.64503,175.92834,10.309394,-75.74507,61.64186,47.016357,0.25916278,87.45354,6.478227,-34.487495,39.4971,15.41512,-22.854412,53.17272,-2.0159416,-33.6482,25.959454,6.7262187,-34.05921,36.98036,-21.543222,-61.13082,0.71807957,10.720836,-12.006659,49.489056,-5.5328465,-31.177452,25.324741,-2.1957276,-29.513935,20.227455,-3.0491858,-27.524166,21.711113,1324.5278252945684,633.7647119213578,2691.1979956624996,1827.8501316965392,1236.4438046799883,2681.1506592930946,0.0514017032820959,0.017578125,0.20947265625,0.113129914,0.026391696,0.39793068,17.05654375039744,8.058556835778832,47.2353951219344,18.544415623637075,4.854524505702635,39.015677816411056,21.598669951170574,8.559877164361929,49.53912271383362,18.855842218597246,8.201447483674672,33.24781557720474,19.588296985931414,11.481356883053442,36.49246599694588,19.25489480117739,11.09005512197436,31.58382255112552,34.97303827149957,9.380987817858863,41.70366973412024,107.666015625
14,blues.00014.wav,-305.66437,-439.14618,-74.082,113.07102,45.01393,182.83139,12.107334,-91.98787,70.966934,45.052197,9.259594,130.39055,17.734385,-30.21457,55.067192,14.590071,-37.511837,48.877007,4.147996,-33.766167,36.459347,0.22631128,-34.870728,26.839134,-7.021588,-45.005127,16.981909,13.646477,-25.674366,49.074913,8.91421,-24.081753,44.450245,1.3037986,-26.12619,34.133636,5.9549794,-14.400395,33.06391,1171.9674319304547,455.0161283043318,2811.40460087759,1705.3701299892873,1035.3289474926537,2617.4825389520697,0.045036675850734724,0.00244140625,0.21630859375,0.066998236,0.010834454,0.3111607,17.679678160015623,6.356067411956255,40.44314652753151,19.682804943313524,3.4360621587437006,39.1562280485268,23.63086398098306,6.987432035269559,44.94744842583829,19.51601065377723,5.457285155026693,37.932132505475856,20.491167529556282,10.716032937849487,37.67290343419094,19.446793881410674,11.248943208487159,34.4323119367775,30.891390483189152,8.613134248788292,45.4830883108546,151.99908088235293
15,blues.00015.wav,-238.51962,-373.55765,-63.736202,120.10219,5.075891,178.63504,-4.221948,-91.12515,62.2013,42.29459,-24.849485,122.26893,5.923822,-48.91075,57.03898,13.911398,-31.44379,50.238693,5.3505235,-39.53035,41.62903,1.8952672,-40.50602,37.91277,-16.92809,-52.75202,10.054317,12.343145,-13.147653,50.70533,3.9388995,-17.285477,37.76104,-1.396683,-27.959587,27.195774,0.013027714,-38.780407,33.043022,1420.438571434397,548.6829514413375,3454.6356429238513,1731.176852967896,1131.2916236813119,2761.71842081566,0.06370125495456304,0.013671875,0.26025390625,0.0806058,0.008459944,0.36125842,16.8547661227614,7.379352188199274,42.03877642940939,18.555580648738022,7.095273284765116,38.450452315621604,20.9636583595755,9.582435453575835,38.85860130625409,19.73258462790029,8.425069173199702,35.881761198246906,20.2910708291332,11.054181974789593,36.39029633669432,20.022597213674636,11.056648601521534,33.03453213639127,33.094510857584524,9.55390876572032,45.58802653246307,103.359375
16,blues.00016.wav,-233.77281,-350.7842,-60.082573,120.66434,53.577538,184.0873,-3.1640923,-89.53128,58.17672,39.514828,-24.29048,112.348434,3.8315241,-58.341866,41.028023,18.828156,-18.578054,55.31257,-3.6787386,-40.351345,30.083912,4.4254684,-31.532497,37.340866,-14.964929,-50.633606,7.737838,17.571478,-8.7139635,49.674213,1.8461251,-29.5179,30.497347,2.5500886,-22.070328,24.109772,-1.2302392,-29.544945,23.64556,1455.0726339658972,639.096033309452,2950.2706478278983,1826.043338417493,1127.6578763476641,2719.941328425916,0.06134406117072699,0.0107421875,0.2275390625,0.081422575,0.014198597,0.2727681,16.85070652317994,8.217915487723266,43.9986864948946,17.971228657029435,5.399820326021734,40.064422917946644,21.036506642583973,5.609456253293125,39.877628780792485,18.756802876808646,6.946911339812532,35.53778174237638,20.260904624405878,10.559532775393926,37.28893102992673,18.605217928650003,10.714036832932662,30.342997283615667,33.90790713420784,11.642030933605254,45.61221784754539,198.76802884615384
17,blues.00017.wav,-245.68724,-398.8249,-76.57983,140.48125,43.723373,194.8542,-2.7912183,-76.39078,78.83075,60.404514,5.6647997,115.4548,18.903513,-33.38017,53.012268,9.828394,-34.2734,49.35842,3.563824,-28.81747,34.655792,0.5228627,-28.138216,34.44735,-16.378489,-53.54915,11.219564,6.6293526,-20.434952,42.231384,7.2584243,-17.965652,43.174866,-4.021235,-32.23047,19.696962,1.601125,-23.295906,29.240988,1089.005343504152,373.63688669753674,2496.0722937036135,1411.0016368511922,849.5415925070748,2367.5512222366947,0.048326248912412995,0.0087890625,0.154296875,0.09327623,0.019267619,0.27092633,15.957412746097543,6.359923463968973,46.559677824586466,18.98860000072543,6.4214241314367175,35.25838408637547,22.634809353106537,8.687352840141862,42.14347123736635,19.932510666037594,7.70508966205314,37.425132819006706,21.300872660004853,11.168285844031365,37.00917900670008,21.695854067757423,12.316008850243716,34.45998387484195,31.49684493301689,10.621911115652882,44.91659047136013,172.265625
18,blues.00018.wav,-252.48178,-342.5981,-61.133617,104.94516,18.373013,164.98615,15.296445,-78.310196,53.324883,42.68784,5.096286,100.52335,6.770452,-25.411362,35.395454,21.611765,-10.502995,46.28088,-1.3111783,-21.304722,24.682346,5.681745,-18.825602,32.00474,-16.636873,-58.34362,7.724516,12.16935,-12.7180805,47.192566,-1.9619533,-22.60406,28.746078,1.9602653,-24.110619,27.459505,-0.8982278,-22.092445,28.968735,1537.4913865266892,716.4690403032628,3156.010895977649,2053.9654113943716,1228.3580470046575,2865.2894641716734,0.056141769987432324,0.0107421875,0.25830078125,0.07967066,0.014899182,0.4043266,18.179413740894983,6.300166989671037,45.2578531844385,18.670310531688646,5.807162897306619,35.82163428982189,23.509211266226693,8.247101724860055,44.95077169913239,18.935473843861725,8.116103423653371,34.69556442610398,19.752488417598524,10.082537330010066,36.07236148257473,18.244366642928565,9.993149550410518,33.26224712904278,34.693799940717874,13.608161459300167,46.346634538211205,83.35433467741936
19,blues.00019.wav,-236.67947,-412.23358,-64.86793,138.4056,22.296444,184.99762,-4.9304795,-96.24663,71.95344,47.6545,-11.101738,100.06905,5.1578503,-55.65261,53.77516,8.887807,-17.34798,51.21553,0.48740575,-30.871737,31.387531,-3.788342,-33.345833,44.419865,-14.984866,-43.37355,9.427466,10.428946,-14.383453,53.227566,-0.34138432,-34.78329,42.111496,0.7833588,-24.83081,30.545021,1.7809838,-33.074696,29.43871,1195.4981309471511,488.1158405487969,2938.3217367499715,1481.0226384301295,973.8691521361537,2407.517601315683,0.05888603900812065,0.01220703125,0.23388671875,0.09761591,0.017791739,0.3188255,16.514078329475538,6.089800953302966,52.1995245987645,18.341678551700845,4.326012360440814,34.619459755090034,22.74198133329287,9.490348171251178,41.93483016799185,19.2571865640276,7.912903253922786,33.90784189962033,20.71006749033866,12.161537633268367,34.759755425372596,20.673343119529278,9.132681889910742,29.945928581096652,32.13162145688698,9.08732864018581,43.407895633973716,123.046875
20,blues.00020.wav,-230.36378,-335.02173,-57.98493,127.07773,35.859795,177.18585,7.1146965,-72.2222,54.963333,39.767056,-3.2178059,102.58027,1.9217218,-59.704826,44.47673,17.410606,-21.6525,46.07975,-5.626918,-44.588497,34.541466,8.2406645,-30.092974,41.13259,-18.116041,-42.37303,9.13586,13.844725,-11.149302,47.52311,-3.7571108,-39.68876,32.606937,2.5798485,-21.308205,32.842728,-4.3167143,-31.174278,21.570112,1390.3828142454297,687.1599893099931,3205.333481095664,1911.2183778211784,1199.1077005170441,2753.133658585673,0.05258634232405259,0.01953125,0.19140625,0.07542555,0.015321372,0.34144375,16.313567698097117,5.725539909316249,40.061304379964426,15.951271935066995,5.1762622575252655,31.5201767370434,20.526270139114605,8.503860000225774,44.721842149753186,17.660601140712814,7.537265512348026,34.135561840877244,18.52977133775778,11.294847098829951,35.23883319894553,17.2324922148112,10.47106361086893,30.388924846345873,34.27820286558109,13.236755195587314,48.557307682625236,135.99917763157896
21,blues.00021.wav,-264.67126,-419.88382,-27.703382,138.85434,44.002754,214.91708,11.167329,-107.173546,71.63396,48.523926,-0.62879235,121.37303,14.90431,-37.582035,45.096775,20.586437,-14.594328,45.954372,3.2061763,-36.336594,35.386166,1.2635795,-34.046738,34.38247,-15.839373,-44.86531,16.4463,15.975112,-5.711851,51.695305,3.358218,-24.421124,34.2294,-1.506641,-27.871967,20.48242,1.8969209,-28.435825,24.327862,1046.7751266104494,429.5928603142954,2755.4343297754717,1481.0558466484968,904.5852740593175,2377.5443421935265,0.047907452387857694,0.00732421875,0.26171875,0.1010843,0.022233538,0.3259335,19.322358005677096,8.127116369634786,43.80543708325571,18.657456770732185,5.868071768397366,33.80060666887238,22.57909481651798,8.232567641058614,43.65067812660513,20.371385163234155,8.377473712503809,36.56153646063079,21.41897879375225,9.322650461976993,39.53654795242463,20.521571835170224,9.621142960183036,37.43992442480126,32.14082354565125,7.927397757558381,45.09531161382034,99.38401442307692
22,blues.00022.wav,-233.96312,-413.21808,-50.608067,136.14453,24.726711,199.19637,3.306636,-88.49536,74.11948,48.930626,-0.9135191,110.59245,8.705184,-41.861504,45.482132,13.989511,-26.32998,46.60543,5.3627157,-37.336296,30.25148,0.4101891,-34.43548,31.154085,-13.483555,-51.63311,17.21434,16.860369,-8.6665745,42.095535,5.134752,-31.91059,36.636604,-2.2307274,-26.524523,34.11077,3.9538214,-18.245811,30.21182,1155.8692567088574,397.00076226914507,3469.7481260781815,1497.936716462212,864.1516174806347,2233.8657966585142,0.05856995903422274,0.001953125,0.30517578125,0.113379315,0.01710568,0.4206443,18.64693501673907,8.075521496874577,46.25809068044099,17.909849830576533,5.632926262005244,39.27145757906189,22.696182284091694,7.001632542948197,39.77846731922739,20.280218302868697,8.411855523016174,35.943675867386574,21.422666660398022,11.047416775716579,38.54350613701993,21.982648496803126,11.399733966433223,35.50706790597627,33.045777834653244,9.330700403840083,47.979527428962605,95.703125
23,blues.00023.wav,-227.2558,-368.0817,-55.366894,137.76518,42.803417,181.87103,-14.502318,-106.65254,59.306736,63.57536,4.3976946,124.388245,5.6017485,-36.093582,44.82418,11.988768,-23.763653,36.167034,1.8891491,-46.166664,26.75925,-1.8709353,-30.779835,30.927898,-7.618036,-41.60671,15.461484,-2.4516425,-28.601482,26.167446,-2.8980217,-25.884857,38.948082,-9.433825,-36.735527,18.58043,-10.939208,-39.400536,17.483635,1210.1413910383174,586.1162073529058,3102.954158403047,1497.6767028673225,1101.2695371112263,2379.8671491328737,0.052467009860788866,0.01416015625,0.2275390625,0.1019351,0.016889783,0.2959028,16.078430126264973,5.9043687761864465,43.96878697413215,19.50074359160606,7.101478966602382,45.50512897195176,24.15746402203703,6.871043205567828,41.211445742665155,21.213913106124988,9.296201153909077,35.75512035793099,20.585728582883952,10.429512439674461,35.478374997053464,20.626921854613617,11.751444312826592,33.88704589526949,30.660784730168746,7.96055047191678,40.45044881915284,184.5703125
24,blues.00024.wav,-274.37683,-441.06424,-68.74557,130.40738,39.370224,203.61122,-6.357467,-90.4332,66.89035,70.38822,13.799675,120.67128,13.269664,-28.88411,57.192043,9.472181,-27.389488,51.433167,7.7330894,-30.741907,34.45659,-1.2365491,-37.182907,37.19902,-0.5709878,-36.85218,33.67308,-2.2971628,-27.860786,22.663448,3.7794154,-20.5064,31.805202,0.085482165,-23.248013,45.568283,-0.93685687,-25.921421,34.36525,1120.1665687071645,433.58666208252237,2851.3396515840473,1448.1227679043836,946.3230505746069,2391.8164938907526,0.04727604770881671,0.0068359375,0.16845703125,0.08692267,0.0138515,0.30437914,16.01476338288691,6.969406658082656,46.69162947982669,21.704744410477684,3.727539410174315,44.63643583174482,23.978363650116822,8.128522068494576,44.77499385025784,20.157896616329765,9.593969598018385,38.05478527587292,20.047590995938116,10.26510189730034,32.660253496947945,21.2692196413072,10.8648502607443,33.816963987475376,28.824411273467128,10.972186875516893,38.637968285398955,103.359375
